P01316903A1040|0 17|RNA polymerase II
P01316903A1040|0 14|RNA polymerase
P01328219A1397|0 6|NSCL-1
P00825571T0031|0 3|III
P00825571T0031|0 2|II
P00479222A0682|1 10|esistance
P01083375T0000|1 5|lpha
P01350780A0184|1 4|min
P01376319T0000|1 4|ene
P00012653T0045|1 4|eta
P01285009A0000|1 4|ene
P00909114A0000|1 4|ial
P00701462A0722|1 4|rin
P00168431T0000|1 4|ter
P00970839A0118|1 4|ain
P00130573T0054|1 3|II
P01441818T0001|2 10|terferon
P00479222A0682|2 10|sistance
P01380062A0097|2 9|antigen
P01330077A0000|2 6|cell
P00234264A0164|2 5|mma
P01083375T0000|2 5|pha
P01174873T0000|2 5|tin
P01448806A0135|2 5|min
P01353478T0000|2 5|ter
P01441818T0001|2 5|ter
P00033873T0001|2 5|mma
P01329039A0951|2 5|ter
P00378492A0475|2 5|nin
P00932817A0499|2 5|din
P00478714T0000|2 5|fic
P01080374A0709|2 5|ide
P00239169T0000|3 17|amine receptor
P01441818T0001|3 10|erferon
P00479222A0682|3 10|istance
P01380062A0097|3 9|ntigen
P00084275T0063|3 7|face
P01436261A0145|3 6|cut
P01400401A0854|3 6|ter
P00928529T0001|3 6|din
P00627039T0000|3 6|min
P01423454A0309|3 6|min
P00587791T0054|3 6|sin
P00952734T0000|3 6|ter
P01099693T0000|3 6|ter
P01172917T0000|3 6|ter
P00686836A0000|3 6|tan
P01326557T0000|3 6|nin
P00988572A0000|3 6|gen
P00755869A0216|3 6|tin
P00337102T0058|3 6|lia
P01156814T0000|3 6|tor
P01394655A0615b|3 6|ase
P01264640T0028|3 6|ase
P01460772T0001|3 6|ase
P00600943T0001|3 6|ase
P01316903A1040|4 14|polymerase
P01457380A0000|4 13|tramtrack
P01402647A0114|4 12|molecule
P00336354A0543|4 12|response
P00989973A0000|4 12|response
P01357528A0084|4 11|subunit
P01441818T0001|4 10|rferon
P01380062A0097|4 9|tigen
P00115974A0576|4 9|group
P01398074A0697|4 8|gene
P01339468A0272|4 8|ORF1
P00239169T0000|4 7|min
P00173860A0475|4 7|fla
P01398074A0697|4 7|gen
P01083375T0000|4 7|a-1
P00483716A0366|4 7|ase
P00101300A0257|4 7|ase
P01083321X0000|4 7|tan
P00100540T0000|4 7|rin
P00115974A0576|4 7|gro
P01420363A0818|4 7|TIM
P00083846T0000|4 7|min
P01447189T0000|4 7|fic
P00808266T0000|4 7|nce
P01330077A0000|5 15|l receptor
P00450760T0001|5 12|lobulin
P01402647A0114|5 12|olecule
P01357528A0084|5 11|ubunit
P01448932T0000|5 10|dwarf
P01329039A0951|5 10|media
P01374688A0471|5 10|group
P00479222A0682|5 10|tance
P00961711T0000|5 9|olog
P01380062A0097|5 9|igen
P01436261A0145|5 8|tan
P01420223T0000|5 8|fic
P00136175A1137|5 8|ain
P00479222A0682|5 8|tan
P00868903A0000|5 8|cin
P00094639A0313|5 8|sin
P00619782A0058|5 8|tan
P00008997A0472|5 8|CSF
P00910823A0196|5 8|ter
P01374688A0471|5 8|gro
P01080374A0709|5 8|nce
P00737422A0832|5 8|gen
P00409927A0570|5 8|cin
P01194673A0652|5 8|ide
P01372802A1481|5 8|mma
P00593119T0001|5 8|nin
P00627202T0000|5 8|tic
P00756511T0036|5 8|tic
P01119586A0337|5 8|gen
P00415543A0320|5 8|nit
P01398074A0697|5 8|ene
P00234264A0164|6 29|glutamyl transpeptidase
P00033873T0001|6 29|glutamyl transpeptidase
P00239169T0000|6 17|ne receptor
P00569989A0239|6 15|halothane
P00993176A0066|6 15|myoglobin
P00627129A0944|6 14|response
P00984209A0614|6 13|gastrin
P01285358A0396|6 13|gastrin
P01317376A0981|6 12|kinase
P01469042A0355|6 12|CENP-B
P00027739T0000|6 11|gamma
P01191964A0000|6 11|group
P01357528A0084|6 11|bunit
P01309910A0428|6 10|tide
P01420223T0000|6 10|ican
P01324404A1208|6 10|beta
P01320640A0336|6 10|cell
P01431809T0000|6 10|tide
P00755869A0216|6 9|gen
P00029953T0045|6 9|ter
P01370281A0461|6 9|cin
P01201977T0000|6 9|ter
P00089778A0000|6 9|nce
P01458170A0155|6 9|min
P01241588A1470|6 9|ter
P01281771T0000|6 9|ter
P00768220X0000|6 9|tor
P01346534T0000|6 9|ter
P00961711T0000|6 9|log
P01452703A0782|6 9|tor
P01156814T0000|6 9|ial
P01339125A0153|6 9|tor
P01047895T0001|6 9|tic
P01259027A0416|6 9|nce
P01191964A0000|6 9|gro
P00133214T0064|6 9|nce
P01398074A1081|6 9|ase
P01380062A0097|6 9|gen
P01206896T0001|6 9|ter
P01389362T0000|6 9|ain
P00193587T0000|6 9|eta
P01406688A0898|6 9|cin
P01284828T0001|7 18|plasminogen
P00239169T0000|7 17|e receptor
P01339468A0272|7 16|1 protein
P01330077A0000|7 15|receptor
P01394655A0615b|7 15|activity
P00871237A0601|7 15|activity
P01284828T0001|7 14|plasmin
P01317376A0981|7 12|inase
P00056837A0000|7 12|media
P00176742T0000|7 11|ctin
P00970320A0000|7 11|form
P01357528A0084|7 11|unit
P01309910A0428|7 10|ide
P01295373A0651|7 10|nit
P01403222A0391|7 10|tic
P01431809T0000|7 10|ide
P00909114A0000|7 10|nit
P00369683T0000|7 10|cin
P01186344A0303|7 10|ain
P01209618A0409|7 10|cin
P00183063A0300|7 10|ide
P01324404A1208|7 10|eta
P00219565A0172|7 10|ide
P01377764A0309|7 10|cin
P00618078A0367|7 10|ase
P00479222A0682|7 10|nce
P01420223T0000|7 10|can
P00935526A0000|7 10|fic
P01083784T0000|7 10|yte
P00857024A0888|7 10|nce
P00601401A0181|8 18|hemoglobin
P01330077A0000|8 15|eceptor
P00933251T0000|8 13|menin
P01317376A0981|8 12|nase
P01374331A0636|8 12|gene
P00027739T0000|8 11|mma
P00176742T0000|8 11|tin
P01357528A0084|8 11|nit
